"","feed_pub_date","item_title","item_description","item_link"
"16",2021-01-01 08:00:00,"Legemiddelselskapene Pfizer og Biontech vil hastegodkjenne coronavaksine i USA - E24","Legemiddelselskapene Pfizer og Biontech vil hastegodkjenne coronavaksine i USA&nbsp;&nbsp;E24","https://e24.no/boers-og-finans/i/QmgqLq/legemiddelselskapene-pfizer-og-biontech-vil-hastegodkjenne-coronavaksine-i-usa"
"17",2021-01-01 08:00:00,"Coronavaksinen fra Pfizer og Biontech godkjent i Storbritannia - ABC Nyheter","Coronavaksinen fra Pfizer og Biontech godkjent i Storbritannia&nbsp;&nbsp;ABC Nyheter","https://www.abcnyheter.no/nyheter/verden/2020/12/02/195723877/coronavaksinen-fra-pfizer-og-biontech-godkjent-i-storbritannia"
"18",2021-01-01 08:00:00,"Vaksinen fra Moderna gir en høyere andel bivirkninger enn vaksinen til Pfizer - NRK","Vaksinen fra Moderna gir en høyere andel bivirkninger enn vaksinen til Pfizer&nbsp;&nbsp;NRK","https://www.nrk.no/urix/vaksinen-fra-moderna-gir-en-hoyere-andel-bivirkninger-enn-vaksinen-til-pfizer-1.15290131"
"19",2021-01-01 08:00:00,"Netflix skjøt fart på New York-børsen - Finansavisen","Netflix skjøt fart på New York-børsen&nbsp;&nbsp;Finansavisen","https://finansavisen.no/nyheter/markedskommentarer/2021/01/20/7611776/netflix-skjot-fart-pa-new-york-borsen"
"20",2021-01-01 08:00:00,"Slik virker de tre nye koronavaksinene - Forskningsaktuelt SINTEF","Slik virker de tre nye koronavaksinene&nbsp;&nbsp;Forskningsaktuelt SINTEF","https://www.sintef.no/siste-nytt/2020/slik-virker-den-nye-koronavaksinen/"
"21",2021-01-01 08:00:00,"EU og Pfizer/BioNTech enige om inntil 300 millioner flere vaksinedoser - Finansavisen","EU og Pfizer/BioNTech enige om inntil 300 millioner flere vaksinedoser&nbsp;&nbsp;Finansavisen","https://finansavisen.no/nyheter/helse/2021/01/08/7605554/eu-og-pfizer-biontech-enige-om-inntil-300-millioner-flere-vaksinedoser"
"22",2021-01-01 08:00:00,"Verdens største legemiddelkonsern: Vaksinen trolig klar før jul - Nettavisen","Verdens største legemiddelkonsern: Vaksinen trolig klar før jul&nbsp;&nbsp;Nettavisen","https://www.nettavisen.no/okonomi/verdens-storste-legemiddelkonsern-vaksinen-trolig-klar-for-jul/s/12-95-3424018381"
"23",2021-01-01 08:00:00,"Slik virker vaksinen fra Pfizer - NRK","Slik virker vaksinen fra Pfizer&nbsp;&nbsp;NRK","https://www.nrk.no/urix/slik-virker-vaksinen-fra-pfizer-1.15237862"
"24",2021-01-01 08:00:00,"Pfizer-vaksine ett steg nærmere i USA - Finansavisen","Pfizer-vaksine ett steg nærmere i USA&nbsp;&nbsp;Finansavisen","https://finansavisen.no/nyheter/helse/2020/12/11/7597230/pfizer-vaksine-ett-steg-naermere-i-usa"
"25",2021-01-01 08:00:00,"E24-podden: Pfizer og FHIs slagplan for å vaksinere hele Norge - E24","E24-podden: Pfizer og FHIs slagplan for å vaksinere hele Norge&nbsp;&nbsp;E24","https://e24.no/naeringsliv/i/vAkzl5/e24-podden-pfizer-og-fhis-slagplan-for-aa-vaksinere-hele-norge"
"26",2021-01-01 08:00:00,"Norges vaksineavtale: – Minst 500.000 Pfizer-doser i første kvartal - VG","Norges vaksineavtale: – Minst 500.000 Pfizer-doser i første kvartal&nbsp;&nbsp;VG","https://www.vg.no/nyheter/innenriks/i/OQyBbV/norges-vaksineavtale-minst-500000-pfizer-doser-i-foerste-kvartal"
